"year","month","sti1","ts","time","sti2","sti3","sti4","sti5","sti6","sti7","sti8","sti9","sti10","sti11","sti12"
1883,6,-0.298796,1883.46,"1883-6-15 00:00:00",-0.907043986637444,-1.47381221760886,-1.57784984286721,-2.24445845860152,-2.72598221734987,-3.41490173067079,-3.67230153611737,-4.07157795068961,-4.15407972783354,-4.03964405924567,-4.21654894626022
1883,7,-0.550155,1883.54,"1883-7-15 00:00:00",-0.568961493816227,-1.00948696056377,-1.49537788710188,-1.60435933893215,-2.2157414222424,-2.67273776404197,-3.32713416525769,-3.58560137299906,-3.97687780965995,-4.06946323566208,-3.97276608549482
1883,8,-0.926925,1883.62,"1883-8-15 00:00:00",-0.989929505102265,-0.941773689195218,-1.27133941957782,-1.68063003027751,-1.77350548476547,-2.32845212247032,-2.75345364990516,-3.36908634404994,-3.61928907313247,-3.99611753937385,-4.09086936620198
1883,9,-1.50338,1883.71,"1883-9-15 00:00:00",-1.62877476229965,-1.58058265875477,-1.47290868765544,-1.71129530544308,-2.04703577893245,-2.11130786758103,-2.60823979583288,-2.99523916998616,-3.56810308286487,-3.80205770353744,-4.15842650840196
1883,10,-1.04265,1883.79,"1883-10-15 00:00:00",-1.70633291214797,-1.84176014696915,-1.80701771084461,-1.70657271091591,-1.91088745232778,-2.21174021502642,-2.2685164393822,-2.7299989436471,-3.09439317686437,-3.63821428582117,-3.8641306183698
1883,11,-1.8893,1883.88,"1883-11-15 00:00:00",-1.96497401121441,-2.35212204956778,-2.40850728791037,-2.33460828665555,-2.20754771476976,-2.36247278721033,-2.61635870723045,-2.65071626553566,-3.06886104812371,-3.40192560304299,-3.90998334340152
1883,12,-0.518568,1883.96,"1883-12-15 00:00:00",-1.61373762937118,-1.82986146920985,-2.22508989903773,-2.3221356617952,-2.28565769475921,-2.18817926838164,-2.34328441587602,-2.59019442660742,-2.63151166684035,-3.03443645132806,-3.35876879921528
1884,1,-0.601024,1884.04,"1884-1-15 00:00:00",-0.750343349362563,-1.59566057496693,-1.81978821116768,-2.19344851472161,-2.30373723433697,-2.28644839954777,-2.20674425996136,-2.3582618683165,-2.59638249572013,-2.64115564311857,-3.0289254947788
1884,2,-0.749324,1884.12,"1884-2-15 00:00:00",-0.904994534727864,-0.991114197227718,-1.68803807829753,-1.89569761683017,-2.24061540555029,-2.35120800019771,-2.34236388526708,-2.27240506412393,-2.41738343112989,-2.64505166752059,-2.69023797382061
1884,3,-1.97149,1884.21,"1884-3-15 00:00:00",-1.8234720235162,-1.76162053441167,-1.72495449014168,-2.26246473226654,-2.40698811332409,-2.69084726259746,-2.77021946834714,-2.74282349547059,-2.66002333784356,-2.78174940058947,-2.98505813319196
1884,4,-2.28712,1884.29,"1884-4-15 00:00:00",-2.85409300086898,-2.65578254248955,-2.51931626164424,-2.4195502301595,-2.84928980233577,-2.94567953776769,-3.17967045972327,-3.23131711749833,-3.18620642600837,-3.09045329231075,-3.19024014535987
1884,5,-2.08058,1884.38,"1884-5-15 00:00:00",-2.92720441643998,-3.36176757431793,-3.1838727605186,-3.03633529057571,-2.91727333514424,-3.28316143657014,-3.3534213647202,-3.5557641325622,-3.59121272915847,-3.53673255577045,-3.43462206900035
1884,6,-1.80533,1884.46,"1884-6-15 00:00:00",-2.60431186067914,-3.27365043314553,-3.65818779161598,-3.51187449832162,-3.37460618041657,-3.25585867526404,-3.58300615374144,-3.64068274011691,-3.82367074684543,-3.85111329693381,-3.79347240278183
1884,7,-1.72935,1884.54,"1884-7-15 00:00:00",-2.36891977624426,-2.97785663300272,-3.54942833226639,-3.89885321271015,-3.77562870049002,-3.64954322855359,-3.53485740589969,-3.83380613077041,-3.8834706549251,-4.05209480646676,-4.07435190456769
1884,8,-1.40209,1884.62,"1884-8-15 00:00:00",-2.09867092470106,-2.61804320549874,-3.15190878032056,-3.67401664717737,-4.00763068071405,-3.91000903525162,-3.80081850618503,-3.69678611160587,-3.97859159558164,-4.02672493750631,-4.18753429464404
1884,9,-1.92881,1884.71,"1884-9-15 00:00:00",-2.23234773238087,-2.68352650227274,-3.08373985678258,-3.53253229558613,-3.99246162393725,-4.29351772552062,-4.2005136190441,-4.09339411609395,-3.98904738337748,-4.24867935628403,-4.28887000794401
1884,10,-1.69675,1884.79,"1884-10-15 00:00:00",-2.4298269670692,-2.6662382331212,-3.034970128129,-3.38097096971952,-3.7826360370273,-4.20418628999319,-4.48571134066161,-4.4015495265311,-4.30083733470342,-4.20045180896114,-4.44467399466218
1884,11,-1.72889,1884.88,"1884-11-15 00:00:00",-2.29584187035132,-2.83954517664034,-3.03476351480075,-3.35078743078499,-3.65764059237334,-4.02267836521166,-4.41268298038397,-4.67703679504557,-4.5993118363018,-4.50359832431265,-4.40646497844224
1884,12,-1.09341,1884.96,"1884-12-15 00:00:00",-1.89148728724925,-2.39652002175695,-2.89611698836138,-3.09967649737277,-3.40461447005524,-3.70170102951386,-4.05334792701618,-4.43009084067682,-4.69036954826135,-4.62692509198924,-4.543390028638
1885,1,-2.48034,1885.04,"1885-1-15 00:00:00",-2.39510423867307,-2.8120695562495,-3.14384187733089,-3.52544050648011,-3.67152660568799,-3.92117985420401,-4.17368517889,-4.48443087495972,-4.82502982717599,-5.06048861344692,-4.99103553407026
1885,2,-1.3799,1885.12,"1885-2-15 00:00:00",-2.58710799196791,-2.62699492277721,-3.00152571851815,-3.3086947404341,-3.66363997565338,-3.80755653708579,-4.04562064750947,-4.28737583292813,-4.58494630897429,-4.91231445234202,-5.14123619869157
1885,3,-0.91617,1885.21,"1885-3-15 00:00:00",-1.53881132963696,-2.5330018913533,-2.63648488345333,-3.00047042304109,-3.30373384504292,-3.64956013630145,-3.80083415941972,-4.03731380579334,-4.27680093141511,-4.568935818209,-4.88986322320859
1885,4,-2.09208,1885.29,"1885-4-15 00:00:00",-2.01610977991977,-2.32710178764846,-3.08504691066342,-3.14388171955646,-3.44423954362705,-3.70264721309611,-4.00853753249462,-4.13932581612062,-4.35268544547381,-4.57181619626256,-4.84340548040242
1885,5,-2.13758,1885.38,"1885-5-15 00:00:00",-2.83469089727763,-2.72891086037056,-2.93109303155768,-3.55618870345594,-3.58949356926221,-3.84598264559067,-4.07138225951508,-4.34617061383685,-4.46071800057123,-4.6550340752448,-4.85698265093129
1885,6,-1.8455,1885.46,"1885-6-15 00:00:00",-2.66943456900285,-3.22174850364058,-3.14022165249254,-3.30551212238318,-3.85679665996653,-3.88389827016974,-4.1161595414248,-4.32274100895067,-4.57806046745447,-4.68412589358577,-4.86655098321454
